text;emotion;texto;emocao
i didnt really feel that embarrassed;sadness;eu realmente não me senti tão envergonhado;tristeza
i feel pretty pathetic most of the time;sadness;eu me sinto muito patético na maioria das vezes;tristeza
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties;sadness;comecei a me sentir sentimental com as bonecas que tinha quando criança e assim comecei uma coleção de bonecas barbie vintage dos anos sessenta;tristeza
i now feel compromised and skeptical of the value of every unit of work i put in;fear;agora me sinto comprometido e cético em relação ao valor de cada unidade de trabalho que coloco;temer
i feel irritated and rejected without anyone doing anything or saying anything;anger;me sinto irritado e rejeitado sem que ninguém faça ou diga nada;raiva
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for;fear;estou a sentir-me completamente sobrecarregado tenho duas estratégias que me ajudam a ter os pés no chão derramar o meu coração no meu diário sob a forma de uma carta a deus e depois terminar com uma lista de cinco coisas pelas quais sou mais grato;medo
i have the feeling she was amused and delighted;joy;tenho a sensação de que ela estava divertida e encantada;alegria
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me;joy;eu pude ajudar chai lifeline com seu apoio e incentivo é um ótimo sentimento e estou muito feliz que você tenha me ajudado;alegria
i already feel like i fucked up though because i dont usually eat at all in the morning;anger;eu já sinto que fodi tudo porque eu não costumo comer nada de manhã;raiva
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed;sadness;eu ainda amo meu amor e desejo o melhor para ele não posso mais tolerar o efeito que bm tem em nossas vidas e o fato de isso me transformou em uma pessoa amarga e zangada que nem sempre é particularmente gentil com as pessoas ao seu redor quando ele está se sentindo estressado;tristeza
i feel so inhibited in someone elses kitchen like im painting on someone elses picture;sadness;eu me sinto tão inibida na cozinha de outra pessoa como se estivesse pintando na foto de outra pessoa;tristeza
i become overwhelmed and feel defeated;sadness;eu fico sobrecarregado e me sinto derrotado;tristeza
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp;anger;eu me sinto um pouco chocado que ela sente que precisa explicar amplamente suas medidas corporais etc pp;raiva
i feel more superior dead chicken or grieving child;joy;eu me sinto mais superior galinha morta ou criança de luto;alegria
i get giddy over feeling elegant in a perfectly fitted pencil skirt;joy;fico tonta por me sentir elegante em uma saia lápis perfeitamente ajustada;alegria
i remember feeling acutely distressed for a few days;fear;Lembro-me de me sentir muito angustiado por alguns dias;medo
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies;surprise;vi ouvir e ler nos últimos dias estou impressionado com mais do que algumas empresas;surpresa
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day;anger;subi a colina sentindo-me frustrado por ter andado completamente errado para este percurso e por um factor que nunca me prejudicou ter feito tanto estrago no dia;raiva
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently;joy;eu não consigo imaginar um cenário da vida real onde eu estaria emocionalmente conectado o suficiente com alguém para me sentir totalmente aceito e seguro onde é moralmente aceitável para mim ter contato físico próximo e prolongado e onde o sexo não será esperado posteriormente;alegria
i am not sure what would make me feel content if anything;joy;eu não tenho certeza do que me faria sentir contente se alguma coisa;alegria
i have been feeling the need to be creative;joy;eu tenho sentido a necessidade de ser criativo;alegria
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them;joy;no entanto, quero que saiba que se algo está a fazer com que se sinta menos do que o seu esplêndido eu afaste-se deles;alegria
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed;anger;sinto-me um pouco rude a escrever a um senhor idoso a pedir presentes porque me sinto um pouco ganancioso mas o que é o natal senão uma ganância leve;raiva
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words;joy;eu preciso de você preciso de alguém preciso ser protegido e me sentir seguro sou pequeno agora me encontro em uma época sem palavras;alegria
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired;joy;eu pretendo compartilhar minhas histórias de vida cotidiana, inspirações de aventuras de viagem e criações artesanais com você e espero que você também se sinta inspirado;alegria
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book;joy;já tenho as minhas árvores de natal montadas tenho duas e estou a sentir-me festivo o que tenho a certeza que está a estimular-me a começar a ler este livro;alegria
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect;joy;usei-o uma vez sozinho com um pouco de corretivo e durante os dias estou me sentindo corajosa, mas não quero ficar pálida, então é perfeito;alegria
i feel very strongly passionate about when some jerk off decides to poke and make fun of us;joy;eu me sinto muito apaixonado quando algum idiota decide cutucar e tirar sarro de nós;alegria
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way;sadness;eu estava tão desanimado que já estamos roubando peter para pagar paul para pegar nossa vaca este ano mas não podemos nos dar ao luxo de não pegar a vaca dessa maneira;tristeza
i was feeling listless from the need of new things something different;sadness;eu estava me sentindo apático pela necessidade de coisas novas algo diferente;tristeza
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special;joy;eu perdi minha mente especial mas não se preocupe ainda estou sã eu só queria que você sentisse o que eu senti ao ler este livro eu não sei quantas vezes foi dito que sam era especial mas eu posso te garantir que foi muito mais vezes do que o que eu usei nesse parágrafo eu te disse que ela era especial;alegria
i can t let go of that sad feeling that i want to be accepted here in this first home of mine;love;eu não posso deixar de lado aquele sentimento triste de que eu quero ser aceito aqui nesta minha primeira casa;amar
on a boat trip to denmark;joy;em uma viagem de barco para a Dinamarca;alegria
i stopped feeling cold and began feeling hot;anger;parei de sentir frio e comecei a sentir calor;raiva
i need to feel the dough to make sure its just perfect;joy;eu preciso sentir a massa para ter certeza que é simplesmente perfeito;alegria
i found myself feeling a little discouraged that morning;sadness;eu me senti um pouco desanimado naquela manhã;tristeza
i feel selfish and spoiled;anger;eu me sinto egoísta e mimado;raiva
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended;fear;fiquei um pouco frustrado enquanto escrevia sentindo-me inseguro de que poderia ir a algum lugar com a história não intencional;medo
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u;joy;i bag qaf olha quem está chorando agora jacynthe parecendo bem se sentindo linda rupaul as skins scissor sister valentine o sol farto kayle quem é seu pai Gerling acordou o indelicado u;alegria
i feel you know basically like a fake in the realm of science fiction;sadness;eu sinto que você sabe basicamente como uma farsa no reino da ficção científica;tristeza
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave;sadness;eu odeio viver sob o teto do meu pai porque isso dá a ele uma desculpa para ser um babaca comigo porque ele está me dando para morar aqui eu acho que ele sente que precisa me fazer sentir o mais indesejável possível então vou sair;tristeza
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations;surprise;eu continuo me sentindo agradavelmente surpreso com seu apoio e também sua facilidade em novas situações;surpresa
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off;joy;tenho a sensação de que se tiver mais actividade sexual vigorosa nos próximos anos sim escrevi errado que à medida que os dias de gozação partes de mim vão começar a cair;alegria
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal;joy;eu sinto o sorriso gracioso e amoroso da minha mãe enquanto eu roubo o tempo para me nutrir e me curar;alegria
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff;joy;sinto no que falam o cunhado é extremamente popular aquele que não tinha eu pra pensar é tão duro;alegria
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level;love;comi pude sentir um formigueiro suave quase como se estivesse a sentir a cura a ocorrer a nível celular;amar
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants;fear;sinto que somos pressionados a ser jovens bonitos e magros e dependendo da tendência ter as meninas rejuvenescidas ou implantes de bumbum;medo
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations;fear;comecei a tê-los várias vezes por semana a sentir-me torturado pelas alucinações movendo pessoas e figuras sons e vibrações;medo
i am now nearly finished the week detox and i feel amazing;surprise;agora estou quase terminando a semana de desintoxicação e me sinto incrível;surpresa
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own;anger;sinto-me egoísta ao ler os meus posts anteriores como nunca pedi orações pelos outros como nunca considerei que pode haver outros por aí que mereçam as suas orações respondidas antes das minhas;raiva
i know the pain parents feel when an enraged child becomes violent;anger;eu sei a dor que os pais sentem quando uma criança enfurecida se torna violenta;raiva
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming;sadness;eu estive em uma montanha-russa de emoções sobre esses supostos sentimentos de que algo desagradável estava por vir;tristeza
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith;love;suponho que a minha própria verdade precisa de ser partilhada não tenho me sentido muito fiel ultimamente tenho vivido mais na dúvida e na incerteza do que na fé;amar
i was feeling brave when i bought it and clearly when i was doing my makeup;joy;eu estava me sentindo corajosa quando comprei e claramente quando estava fazendo minha maquiagem;alegria
i am feeling miserable but c i am also the proudest mum on earth;sadness;estou me sentindo miserável, mas também sou a mãe mais orgulhosa do mundo;tristeza
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic;sadness;eu acho que minha família nos ama não importa o que aconteça, mas perto de qualquer outra pessoa eu me sinto envergonhado quando michelle fica balística;tristeza
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals;joy;não acho necessariamente que bombas f e sexo sejam necessários em todas as histórias, mas sinto-me tranquilo quando os vejo em jornais impressos;alegria
i can feel my ovaries aching talking to me as i like to put it;sadness;eu posso sentir meus ovários doendo falando comigo como eu gosto de dizer;tristeza
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff;sadness;eu não estava com vontade de fazer muito chris e na maioria das vezes tirei muitas fotos de coisas sem importância;tristeza
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well;sadness;estou cansado do livro e pronto para tirá-lo daqui e descobrir que me deram imagens inadequadas e depois me sentir culpado pelo resultado não caiu bem;tristeza
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs;joy;consegui esticar com sucesso uma tela mxm sinto que isto é uma conquista em si mesmo e foi um uso valioso do meu dinheiro e tempo vou usar a tela para futuros resumos;alegria
i think feelings are one of nay the most important things we have;joy;eu acho que os sentimentos são uma das coisas mais importantes que temos;alegria
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman;joy;sinto-me completamente honrada por ser uma influência para esta jovem e talentosa mulher bonita e viva;alegria
i feel angered and firey;anger;eu me sinto irritado e firey;raiva
i feel like a miserable piece of garbage;sadness;me sinto um lixo miserável;tristeza
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything;anger;eu sinto que preciso fazer uma lista leanne ficaria horrorizada com o pensamento para que eu não perca nada;raiva
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner;anger;conduzi a Dannika para a escola estava a sentir-me um pouco apressado e foi isso que me cumprimentou quando virei a esquina;raiva
i remember feeling so hellip furious with the shooter;anger;eu me lembro de me sentir tão furioso com o atirador;raiva
i feel very happy and excited since i learned so many things;joy;me sinto muito feliz e animado desde que aprendi tantas coisas;alegria
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently;joy;sinto que nos espectáculos e à volta dos cavalos de espectáculo as pessoas confiam e relaxam porque a maioria dos cavalos de espectáculo são seguros e sossegados e são manuseados com frequência;alegria
i only have a couple of things left to make and at the start of december i am done and feeling smug;joy;eu só tenho algumas coisas para fazer e no início de dezembro eu terminei e me sentindo presunçoso;alegria
i think about how u could make me feel and realize that everything will be ok;joy;eu penso em como você poderia me fazer sentir e perceber que tudo vai ficar bem;alegria
i feel so worthless during those times i was struggling finding work;sadness;eu me sinto tão inútil durante esses tempos eu estava lutando para encontrar trabalho;tristeza
i will be able to lay on my bed in the dark and not feel terrified at least for a while;fear;eu poderei deitar na minha cama no escuro e não me sentir aterrorizado pelo menos por um tempo;temer
i was ready to meet mom in the airport and feel her ever supportive arms around me;love;eu estava pronto para encontrar minha mãe no aeroporto e sentir seus braços sempre me apoiando;amar
im feeling bitter today my mood has been strange the entire day so i guess its that;anger;Estou me sentindo amargo hoje meu humor tem sido estranho o dia inteiro então eu acho que é isso;raiva
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours;sadness;quando o irmão da minha mãe faleceu depois de se envolver em um acidente de carro ele estava me trazendo um presente pois eu tinha passado meus cinco exames com louvor;tristeza
i am letting go of the animosity that is towards anyone that i feel has wronged me;anger;estou deixando de lado a animosidade que é para com qualquer um que eu sinto que me prejudicou;raiva
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home;love;falo com os cães porque sinto que eles não compreendem as palavras mas conseguem ler emoções e sabem como ser solidários decidi que devia ir para casa;amar
i feel like throwing away the shitty piece of shit paper;sadness;eu sinto vontade de jogar fora o pedaço de merda de papel de merda;tristeza
im starting to feel wryly amused at the banal comedy of errors my life is turning into;joy;estou começando a me divertir ironicamente com a comédia banal de erros que minha vida está se tornando;alegria
i find every body beautiful and only want people to feel vital in their bodies;joy;eu acho todos os corpos bonitos e só quero que as pessoas se sintam vitais em seus corpos;alegria
i hear are owners who feel victimized by their associations the associations attorneys or the property manager;sadness;ouço dizer que são proprietários que se sentem vitimizados pelas suas associações os advogados das associações ou o gestor da propriedade;tristeza
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country;anger;eu me despeço da família eles estão todos tristes chorando e eu me sinto como uma vadia sem coração porque hey estou muito animada por estar voando pela primeira vez e você sabe também passar um ano em outro país;raiva
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months;love;eu não vou deixar minha criança chorar porque eu sinto que amar ela e lírio quando ela era pequena seriam oportunidades que duraram apenas por alguns meses;amar
i alba i feel good and im fitting in;joy;eu alba eu me sinto bem e estou me encaixando;alegria
i feel excited about what im doing again i feel like i have a ton of catching up to do;joy;sinto-me entusiasmado com o que estou a fazer de novo sinto que tenho muito o que fazer;alegria
i also know how good it feels to look back and see that i honored my word and that helps from the start;joy;também sei como é bom olhar para trás e ver que honrei minha palavra e isso ajuda desde o início;alegria
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness;sadness;quero dizer trabalhos realmente muito árduos para obter uma habilidade técnica tão elevada no wushu sinto-me um pouco envergonhado mas de alguma forma motivado quando vi miúdos a fazerem actuações de wushu com todo o coração apesar do seu cansaço;tristeza
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me;joy;sinto que as coisas estão a ficar um pouco avassaladoras algumas borrifadas deste toner ajudam-me a acalmar e a acalmar-me;alegria
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger;joy;espero que perceba como é necessário tão pouco esforço para fazer uma pessoa sentir-se melhor consigo mesma ou com a sua situação, quer seja eu um membro da família, um amigo da faculdade ou do liceu, um vizinho da rua ou mesmo um completo estranho;alegria
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street;joy;estou me sentindo tão festivo hoje que vou até montar a árvore assim que terminar de fazer isso e me atualizar com os acontecimentos da semana na rua da coroação;alegria
finding out that i am not ill not seriously;joy;descobrir que não estou doente não é sério;alegria
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling;sadness;eu fui bem na aula mas uma combinação de me sentir mal sucedido sendo homem lidou com o estresse de tarde e minha semana horrível resultou em quase chorar depois que eu terminei de lutar;tristeza
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face;joy;sinto que raramente avança alguma causa que valha a pena e sigo sempre a regra de não publicar nada online que não esteja preparado para dizer na cara de alguém;alegria
i am feeling all useful;joy;estou me sentindo útil;alegria
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain;love;eu sinto que alguns de vocês têm dores e não podem imaginar se apaixonar pelo grupo ou pela ideia que está causando dor;amar
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair;sadness;me sinto feia estou mais inclinada a usar jeans surrados e um moletom do que um vestido bonito embora eu ainda possa usar um par de saltos em casa para aumentar minha auto-estima um pouco mas definitivamente não vou me dar ao trabalho de comprar um novo par;tristeza
im not feeling homesick yet so im feeling alright about this;sadness;não estou sentindo saudades de casa ainda, então estou me sentindo bem com isso;tristeza
i dance i should feel pretty;joy;eu danço eu deveria me sentir bonita;alegria
i workout every morning before and feel fabulous for it;joy;eu treino todas as manhãs antes e me sinto fabulosa por isso;alegria
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain;sadness;eu sinto tudo isso apenas pelos olhos dela não pelo toque ou pelas palavras dela mas pelos olhos dela eu sei que posso retribuir esse amor com certeza e sei que não será em vão;tristeza
i was feeling fabulous until friday morning when i started to get these awful cramps at work;joy;eu estava me sentindo fabulosa até sexta de manhã quando comecei a ter essas cólicas horríveis no trabalho;alegria
i feel honoured to have been able to call them friends to share their brotherhood;joy;me sinto honrado por poder chamá-los de amigos para compartilhar sua irmandade;alegria
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town;fear;comecei a ficar apreensivo quando grossas nuvens negras de chuva invadiram o céu acima da cidade;temer
i had stated to her the reason i feel so fearful is because i feel unsafe;fear;eu tinha dito a ela que a razão de eu sentir tanto medo é porque me sinto insegura;temer
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch;fear;ainda não estava com vontade de ser abalado pelo tsa, então fui para o lado em croissants criativos para um almoço;medo
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet;sadness;entro em grupos sinto-me muito estranho e compenso demasiado por falar demasiado ou por ficar muito calado;tristeza
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved;love;estou muito animado para finalmente conhecer aquele companheiro aquele companheiro que estará comigo em todos os momentos especialmente quando eu estiver sozinho muito solitário aquele companheiro que nunca me decepcionará aquele companheiro que colocará seus braços em volta de mim e me fará sentir amado;amar
i feel they are pretty safe on my blog img src http s;joy;eu sinto que eles estão bem seguros no meu blog img src http s;alegria
i feel pretty eager to get it done as i have a fun plan for quilting it;joy;eu me sinto muito ansioso para fazê-lo, pois tenho um plano divertido para acolchoá-lo;alegria
i am feeling horny so i ask her that lets go home;love;estou com tesão, então peço a ela que vamos para casa;amar
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love;fear;acho que se um poema não me pressiona não me sinto desconfortável no sentido de sentir mais do que posso sentir compreender mais do que compreender amar mais do que sou capaz de estar apaixonado;medo
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home;surprise;também me sinto um estranho numa terra estranha e estou a criar o meu filho num lugar que não é a casa ancestral do pai dele;surpresa
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful;joy;saí para o chuveiro questionando o que eu sinto que ela era linda um corpo tão fantástico tão confiante no seu movimento sem esforço gracioso;alegria
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day;joy;sinto-me enérgico e saltitante sinto-me mais do que feliz por ir ao ginásio correr lá fora com os meus filhos ou levar o carrinho de bebé para uma longa caminhada frequentemente faço os três num dia;alegria
i was still feeling strong;joy;eu ainda estava me sentindo forte;alegria
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him;joy;eu não desabei em lágrimas ou alguma outra liberação devastadora de sentimentos ou pensamentos porque eu parecia saber que rico também tinha que passar por seu próprio espaço sem que eu simplesmente despejasse nele;alegria
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter;anger;queria tomar um latte com especiarias de abóbora esta manhã mas estava quente e a última coisa que queria era um café quente talvez esteja a sentir-me um pouco amargo;raiva
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it;fear;suponho que ele se sente mal porque ele estava um pouco cético em relação à dor dela nos últimos meses ela teve um hábito de hipercondria e exagero no passado embora ele nunca a tenha questionado abertamente sobre isso;medo
i clench to the corners of the bed to feel assured;joy;eu me agarro aos cantos da cama para me sentir seguro;alegria
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it;anger;eu também sinto que estou sendo egoísta por não ser grato pela vida que tenho e pelas coisas incríveis nela;raiva
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question;love;eu o chamei de deus porque eu tinha visto deus em um livro e percebi que deus era o nome certo para me sentir tão totalmente afirmado e aceito sem questionar;amar
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious;anger;eu não sei porque talvez porque outras garotas no escritório tinham cabelos curtos bonitos ou talvez eu estivesse apenas me sentindo rebelde;raiva
i do not feel miserable at all because my family is not the type that celebrates eid;sadness;eu não me sinto nada miserável porque minha família não é do tipo que celebra o eid;tristeza
i might go get a car wash if i am feeling really generous my car needs it;joy;eu posso ir lavar o carro se estou me sentindo muito generoso meu carro precisa disso;alegria
i still feel sleep deprived she is almost sleeping through the night giving us;sadness;eu ainda me sinto privado de sono ela está quase dormindo durante a noite nos dando;tristeza
i just feel really violent right now;anger;eu só me sinto muito violento agora;raiva
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we;joy;estou a blogar de novo estou sentado aqui a sentir-me contente com os meus cães e gatos etc e sei que somos sortudos a verdade é que nós;alegria
i started feeling funny and then friday i woke up sick as a dog;surprise;eu comecei a me sentir engraçado e então sexta-feira eu acordei doente como um cachorro;surpresa
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be;sadness;sinto necessidade de proteger meus pais contra a caça às bruxas que a terapia da memória reprimida pode ser;tristeza
i feel disgusted to even be associated with this woman by my race and nationality;anger;sinto nojo até de ser associado a essa mulher pela minha raça e nacionalidade;raiva
i laughed then bitterly again but i wasnt feeling bitter;anger;eu ri amargamente novamente, mas eu não estava me sentindo amargo;raiva
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever;sadness;não conseguia saber o que ele estava a sentir então pensei que ele gostaria de estar lá connosco também pois cada um de nós sabia que por mais que o odiássemos no início era uma experiência que íamos recordar para sempre;tristeza
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold;joy;eu estava me sentindo bastante suave e queria um visual suave e fácil de usar com meu início de um resfriado;alegria
i told him that maybe i just need time to think how ive been feeling indecisive about things lately;fear;eu disse a ele que talvez eu só precise de tempo para pensar como tenho me sentido indeciso sobre as coisas ultimamente;temer
i still feel it does the genre a disservice when stories are resolved artifically;joy;eu ainda sinto que faz um desserviço ao gênero quando as histórias são resolvidas artificialmente;alegria
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed;joy;eu sempre sei quando estou me sentindo artístico quando escrevo meu nome enquanto estou com disposição artística o i em manitz eu desenho um círculo não um ponto quanto maior o ponto mais artístico estou me sentindo e se for apenas uma linha como uma acento em espanhol estou chateado;alegria
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off;fear;lembro-me de me sentir muito aterrorizado quando estava no brasil num autocarro que subia colinas íngremes na encosta da montanha no meio de uma grande tempestade a pensar se íamos cair;temer
i could feel her whimper to the thought of being unloved and uncared for;sadness;eu podia senti-la choramingar com o pensamento de não ser amada e descuidada;tristeza
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show;surprise;eu certamente não vou sentar e dizer o que está acontecendo na minha vida pessoal, mas eu sinto que se você já ficou curioso sobre o que está acontecendo na minha vida tudo que você tem que fazer é assistir ao show;surpresa
im sorry that there wasnt more humor in this post but im not feeling all that funny;surprise;sinto muito que não havia mais humor neste post, mas não estou me sentindo tão engraçado;surpresa
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains;joy;sinto que pus o pé na porta do fantástico mundo de caminhar e correr os trilhos colinas e montanhas;alegria
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love;anger;digo o que me vem à mente dizer-te directamente o que sinto uma rapariga ciumenta não porque sou insegura mas porque adoro essa pessoa um amigo digno de confiança doce para quem amo;raiva
i feel strange coming back to work after my one day holiday;fear;me sinto estranho voltando ao trabalho depois do meu dia de férias;medo
