não me senti humilhado; tristeza
eu me sinto muito apaixonado quando algum idiota decide cutucar e tirar sarro de nós; alegria
eu estava me sentindo tão desanimado que já estamos roubando peter para pagar paul para pegar nossa vaca este ano, mas não podemos nos dar ao luxo de não pegar a vaca dessa maneira; tristeza
eu estava me sentindo apático pela necessidade de coisas novas, algo diferente; tristeza
eu perdi minha mente especial mas não se preocupe ainda estou sã eu só queria que você sentisse o que eu senti ao ler este livro eu não sei quantas vezes foi dito que sam era especial mas posso garantir que foi muito mais vezes do que o que eu usei nesse parágrafo eu te disse que ela era especial; alegria
não consigo deixar de lado aquele sentimento triste de querer ser aceito aqui nesta minha primeira casa; amar
em uma viagem de barco para a Dinamarca; alegria
parei de sentir frio e comecei a sentir calor; raiva
preciso sentir a massa para ter certeza que está perfeita; alegria
senti-me um pouco desanimado naquela manhã; tristeza
me sinto egoísta e mimada; raiva
fiquei um pouco frustrado enquanto escrevia, sentindo-me inseguro de que poderia ir a algum lugar com a história não intencional; medo
i bag qaf olha quem está chorando agora jacynthe parecendo bem se sentindo linda rupaul as skins tesoura irmãs valentine o sol farto kayle quem é seu papai Gerling desperte o indelicado u; alegria
eu sinto que você sabe basicamente como uma farsa no reino da ficção científica; tristeza
eu odeio viver sob o teto do meu pai porque isso dá a ele uma desculpa para ser um babaca comigo porque ele está providenciando para eu morar aqui eu acho que ele sente que precisa me fazer sentir tão indesejável quanto possível, então vou embora; tristeza
continuo me sentindo agradavelmente surpreso com seu apoio e também sua facilidade em novas situações; surpresa
eu tenho essa sensação de que se eu tiver mais atividade sexual vigorosa nos próximos sim eu escrevi errado que como dias de gozação partes de mim vão começar a cair; alegria
eu sinto o sorriso gracioso e amoroso de minha mãe enquanto eu roubo o tempo para me nutrir e me curar; alegria
sinto nas conversas que o cunhado é extremamente popular aquele que não tinha eu pra achar que é tão duro; alegria
comi, pude sentir um leve formigamento quase como se estivesse sentindo a cura ocorrendo em nível celular; amar
sinto que somos pressionadas a sermos jovens bonitas magras e dependendo da tendência ter as meninas rejuvenescidas ou implantes de bumbum; medo
comecei a tê-los várias vezes por semana sentindo-me torturado pelas alucinações que moviam pessoas e figuras, sons e vibrações; medo
estou quase terminando a semana de desintoxicação e me sinto incrível; surpresa
eu me sinto egoísta ao ler meus posts anteriores como eu nunca pedi orações para os outros como eu nunca considerei que pode haver outros por aí que merecem suas orações respondidas antes das minhas; raiva
conheço a dor que os pais sentem quando uma criança enfurecida se torna violenta; raiva
eu estive em uma montanha russa de emoções sobre esses supostos sentimentos de que algo desagradável estava por vir; tristeza
suponho que minha própria verdade precisa ser compartilhada não tenho me sentido muito fiel ultimamente tenho vivido mais na dúvida e na incerteza do que na fé; amar
eu estava me sentindo corajosa quando comprei e claramente quando estava fazendo minha maquiagem; alegria
estou me sentindo miserável, mas também sou a mãe mais orgulhosa do mundo; tristeza
eu acho que minha família nos ama não importa o que aconteça, mas perto de qualquer outra pessoa eu me sinto envergonhada quando michelle enlouquece; tristeza
não acho necessariamente que bombas e sexo sejam necessários em todas as histórias, mas sinto-me tranqüilo quando os vejo em jornais impressos; alegria
posso sentir meus ovários doendo falando comigo como gosto de dizer; tristeza
eu não estava com vontade de fazer muito chris e, na maioria das vezes, tirei muitas fotos de coisas sem importância; tristeza
estou cansado do livro e pronto para tirá-lo daqui e descobrir que me deram imagens inadequadas e depois me sentir culpado pelo resultado não caiu bem; tristeza
consegui esticar com sucesso uma tela mxm sinto que isso é uma conquista em si para mim e foi um uso valioso do meu dinheiro e tempo vou usar a tela para futuros briefs; alegria
acho que os sentimentos são uma das coisas mais importantes que temos; alegria
sinto-me completamente honrada por ser uma influência para esta jovem e talentosa mulher bonita e vivaz; alegria
sinto raiva e fogo; raiva
me sinto um lixo miserável; tristeza
eu sinto que preciso fazer uma lista leanne ficaria horrorizada com o pensamento para que eu não perca nada; raiva
eu dirigi dannika para a escola eu estava me sentindo um pouco apressado e isso é o que me cumprimentou quando virei a esquina; raiva
Lembro-me de me sentir tão furioso com o atirador; raiva
me sinto muito feliz e animado por ter aprendido tantas coisas; alegria
eu sinto que em shows e em torno de cavalos de show as pessoas confiam e relaxam porque a maioria dos cavalos de show são seguros e tranquilos e são manuseados com frequência; alegria
eu só tenho algumas coisas para fazer e no início de dezembro estou pronto e me sentindo orgulhoso; alegria
penso em como você poderia me fazer sentir e perceber que tudo vai ficar bem; alegria
eu me sinto tão inútil durante aqueles tempos em que estava lutando para encontrar trabalho; tristeza
poderei deitar na minha cama no escuro e não me sentir aterrorizada pelo menos por um tempo; medo
eu estava pronto para encontrar minha mãe no aeroporto e sentir seus braços sempre me apoiando; amar
estou me sentindo amarga hoje meu humor esteve estranho o dia inteiro então acho que é isso; raiva
quando o irmão da minha mãe faleceu depois de ter se envolvido em um acidente de carro ele estava me trazendo um presente porque eu tinha passado meus cinco exames com louvor; tristeza
estou deixando de lado a animosidade que existe em relação a qualquer pessoa que sinto que me ofendeu; raiva
falo com os cães porque sinto que eles não entendem as palavras mas sabem ler emoções e sabem como ser solidários decidi que devia ir para casa; amar
tenho vontade de jogar fora o pedaço de merda de papel; tristeza
estou começando a me divertir ironicamente com a banal comédia de erros em que minha vida está se transformando; alegria
eu acho cada corpo bonito e só quero que as pessoas se sintam vitais em seus corpos; alegria
ouço são proprietários que se sentem vitimizados pelas suas associações os advogados das associações ou o administrador do imóvel; tristeza
eu me despeço da família eles estão todos tristes chorando e eu me sinto como uma vadia sem coração porque hey estou muito animada para voar pela primeira vez e você sabe também para passar um ano em outro país; raiva
eu não vou deixar minha criança chorar porque eu sinto que amar ela e Lily quando ela era pequena seria uma oportunidade que só duraria por aqueles poucos meses; amar
i alba me sinto bem e estou me encaixando; alegria
eu me sinto animado com o que estou fazendo de novo eu sinto que tenho muito o que fazer; alegria
também sei como é bom olhar para trás e ver que honrei minha palavra e isso ajuda desde o início; alegria
quero dizer, trabalhos realmente muito duros para obter uma habilidade técnica tão alta no wushu me sinto meio envergonhado, mas de alguma forma motivado quando vejo crianças fazendo apresentações de wushu com todo o coração, apesar do cansaço; tristeza
eu sinto que as coisas estão ficando um pouco esmagadoras algumas borrifadas deste toner realmente ajudam a me acalmar e me acalmar; alegria
espero que você perceba como é necessário tão pouco esforço para fazer uma pessoa se sentir melhor consigo mesma ou com sua situação, seja eu um membro da família, um colega de faculdade ou de ensino médio, um vizinho na rua ou até mesmo um completo estranho; alegria
estou me sentindo tão festivo hoje que vou até montar a árvore assim que terminar de fazer isso e me atualizar com os acontecimentos da semana na rua da coroação; alegria
descobrir que não estou doente não a sério; alegria
eu fui bem na aula, mas uma combinação de me sentir mal sucedido sendo homem lidou com o estresse da tarde e minha semana horrível resultou em quase chorar depois que terminei de lutar; tristeza
eu sinto que raramente promove qualquer causa que valha a pena e eu sempre sigo a regra de não postar nada online que eu não esteja preparado para dizer na cara de alguém; alegria
estou me sentindo útil; alegria
sinto que alguns de vocês têm dores e não imaginam se apaixonar pelo grupo ou pela ideia que está causando dor; amar
me sinto feia estou mais inclinada a usar jeans surrados e um moletom do que um vestido bonito, embora ainda possa usar um par de saltos em casa para aumentar minha auto-estima um pouco, mas definitivamente não vou me incomodar em comprar um novo par; tristeza
não estou sentindo saudades de casa ainda, então estou me sentindo bem com isso; tristeza
eu danço deveria me sentir bonita; alegria
eu treino todas as manhãs antes e me sinto fabulosa por isso; alegria
sinto tudo isso apenas pelos olhos dela, não pelo toque ou pelas palavras dela, mas pelos olhos dela sei que posso retribuir com certeza esse amor e sei que não será em vão; tristeza
eu estava me sentindo fabulosa até sexta de manhã quando comecei a ter essas cólicas horríveis no trabalho; alegria
sinto-me honrado por poder chamá-los de amigos para compartilhar sua irmandade; alegria
eu tinha começado a ficar apreensivo quando grossas nuvens negras de chuva invadiram o céu acima da cidade; medo
eu disse a ela que a razão de eu sentir tanto medo é porque me sinto insegura; medo
eu ainda não estava com vontade de ser abalado pela tsa, então parei para o lado em croissants criativos para um almoço; medo
eu entro em grupos e me sinto muito desajeitado e supercompenso sendo muito falador ou ficando muito quieto; tristeza
estou muito animado para finalmente conhecer aquele companheiro aquele companheiro que estará comigo em todos os momentos especialmente quando eu estiver sozinho muito solitário aquele companheiro que nunca me decepcionará aquele companheiro que colocará seus braços em volta de mim e me fará sentir amado; amar
eu sinto que eles estão bem seguros no meu blog img src http s; alegria
eu me sinto muito ansioso para fazê-lo, pois tenho um plano divertido para acolchoá-lo; alegria
estou com tesão então peço a ela que vamos para casa; amar
acho que se um poema não me pressiona não me sinto desconfortável no sentido de sentir mais do que posso sentir compreender mais do que compreender amar mais do que sou capaz de estar apaixonado; medo
eu também me sinto um estranho em uma terra estranha e estou criando meu filho em um lugar que não é o lar ancestral de seu pai; surpresa
saí para o chuveiro questionando o que eu sinto que ela era linda um corpo tão fantástico tão confiante em seu movimento sem esforço gracioso; alegria
sinto-me enérgico e saltitante estou mais do que feliz por ir ao ginásio correr lá fora com os meus filhos ou levar o carrinho para uma longa caminhada frequentemente faço os três num dia; alegria
eu ainda estava me sentindo forte; alegria
não desatei a chorar ou a qualquer outra liberação devastadora de sentimentos ou pensamentos porque parecia saber que Rich também tinha que passar por seu próprio espaço sem que eu simplesmente despejasse nele; alegria
eu queria tomar um café com leite de abóbora esta manhã, mas estava quente e a última coisa que eu queria era um café quente, talvez eu esteja me sentindo um pouco amarga; raiva
suponho que ele se sinta mal porque ele estava um pouco cético em relação à dor dela nos últimos meses ela teve um hábito de hipercondria e exagero no passado, embora ele nunca a questionasse abertamente sobre isso; medo
eu me agarro aos cantos da cama para me sentir segura; alegria
também sinto que estou sendo egoísta por não ser grata pela vida que tenho e pelas coisas incríveis que ela tem; raiva
chamei-o de deus porque tinha visto deus em um livro e imaginei que deus era o nome certo para me sentir tão absolutamente afirmado e aceito sem questionamentos; amar
não sei por que talvez porque outras garotas no escritório tivessem cabelos curtos bonitos ou talvez eu estivesse apenas me sentindo rebelde; raiva
não me sinto nada miserável porque minha família não é do tipo que celebra o eid; tristeza
posso ir lavar o carro se estiver me sentindo realmente generoso, meu carro precisa disso; alegria
ainda me sinto privado de sono ela está quase dormindo a noite toda nos dando; tristeza
eu me sinto muito violento agora; raiva
estou blogando novamente estou sentado aqui me sentindo contente com meus cachorros e gatos etc e sei que como somos sortudos, a verdade é que nós; alegria
comecei a me sentir engraçado e na sexta-feira acordei doente como um cachorro; surpresa
sinto necessidade de proteger meus pais da caça às bruxas que a terapia da memória reprimida pode ser; tristeza
sinto nojo até de ser associado a essa mulher pela minha raça e nacionalidade; raiva
eu ri amargamente novamente, mas não estava me sentindo amarga; raiva
eu não podia saber o que ele estava sentindo, então pensei que ele gostaria de estar lá conosco também, pois cada um de nós sabia que, por mais que odiássemos no início, era uma experiência que lembraríamos para sempre; tristeza
eu estava me sentindo bastante suave e queria um look suave e fácil de usar com meu início de um resfriado; alegria
eu disse a ele que talvez eu só precise de tempo para pensar como tenho me sentido indeciso sobre as coisas ultimamente; medo
ainda sinto que faz um desserviço ao gênero quando as histórias são resolvidas artificialmente; alegria
eu sempre sei quando estou me sentindo artístico quando escrevo meu nome enquanto estou com disposição artística o i em manitz eu desenho um círculo não um ponto quanto maior o ponto mais artístico estou me sentindo e se for apenas uma linha como uma marca de acento em espanhol, chateado; alegria
eu me lembro de me sentir muito apavorado quando estava no brasil em um ônibus que subia colinas íngremes na encosta da montanha no meio de uma grande tempestade me perguntando se iríamos cair; medo
eu podia senti-la choramingar com o pensamento de não ser amada e cuidada; tristeza
eu certamente não vou sentar e dizer o que está acontecendo na minha vida pessoal, mas eu sinto que se você já ficou curioso sobre o que está acontecendo na minha vida, tudo o que você precisa fazer é assistir ao show; surpresa
lamento que não tenha havido mais humor neste post, mas não estou me sentindo tão engraçado assim; surpresa
sinto que pus o pé na porta do fantástico mundo de caminhar e correr pelas trilhas morros e montanhas; alegria
eu digo o que me vem à mente dizer diretamente o que eu sinto uma garota ciumenta não porque eu sou insegura, mas porque eu amo essa pessoa um amigo digno de confiança doce para quem eu amo; raiva
me sinto estranho voltando ao trabalho depois de um dia de férias; medo
sou claramente influenciado pela felicidade do traço de Emily Dickinson, por exemplo, e uso traços em vez de dois pontos ou ponto e vírgula para aumentar a sensação de enjambment apressado no soneto; raiva
estou mais gordo porque a única coisa na minha vida que pode permanecer sob o meu controlo é se posso ou não comer manteiga de amendoim no pão quando chego a casa de um dia impossível para o primeiro mundo com cara de terceiro mundo mas sentindo-me muito carente e negligenciado meninas; tristeza
eu poderia reivindicar a redenção do gênero, mas isso não me deixou tão frustrado a ponto de bater minha cabeça contra a parede também; raiva
eu me sinto tão triste e sem esperança; tristeza
estou tendo a sensação de que minhas aulas estão um pouco intimidadas pelo conceito de um iluminado; medo
ainda me sinto grogue, mas tenho que me levantar para fazer a rotina do meu filho; tristeza
tenho a sensação de que minha visão não vai ser muito popular e tudo bem; alegria
quero manter esse sentimento de espanto e admiração chocados para sempre; surpresa
quando ouvi um boato de que os resultados do exame do 1.º ano tinham saído tive medo de ser um dos reprovados; medo
quero me sentir valorizado e valorizado e saber que as pessoas que me amam não vão a lugar nenhum, mesmo que a natureza do relacionamento mude; alegria
sei que há dias em que você se sente distraído; raiva
uso-o regularmente com música relaxante e sinto-me sempre revigorado depois; alegria
estou me sentindo distraído e costumo praticar com os olhos fechados o máximo possível; raiva
eu sinto que é perfeito ver o youtube tem suas influências eu até conheço tendências; alegria
eu queria especificamente que o tango estivesse me sentindo tímido e faz o oposto difícil ficar longe o suficiente dele para conseguir boas fotos lol; medo
também não me senti muito estranho dormindo na minha cama enquanto os dois dormiam na dela; medo
eu só queria que tudo bem, então eu estava pensando sobre isso hoje cedo e aqui está a coisa de estar tudo enfiado e inquieto me fez sentir tão carente; tristeza
perdi um pouco de peso a ponto de caber em uma saia minúscula que não consegui usar porque não me sentia confiante nela até agora; alegria
espero voltar a me sentir um pouco mais criativo em breve e sentir falta de sua presença no blog da minha vida; alegria
não sou fã do atual presidente sou conservador e isso me fez sentir indesejável; tristeza
vou anexar seus versos sobre ela não poderia pesar muito mais pensando e sentindo curiosidade em ouvir o estranho casal; surpresa
começo a me sentir complacente com minha vida aqui; alegria
me sinto vulnerável e sozinho; medo
lembro-me de me sentir inspirado e pensar que era um bom exemplo de paternidade; alegria
sinto que sou sempre punido por coisas estúpidas e sinto que estou sendo castigado por me comportar; tristeza
eu realmente sinto que minha vida está perfeita agora e se não for pedir muito eu só espero que tudo continue igual; alegria
estou lá eu simplesmente me sinto satisfeito; alegria
não estou dizendo que corte todos da sua vida, mas sinto que é importante encontrar conforto na meditação da solidão ou trabalhando em projetos sozinho; alegria
eu acho que estou apenas sendo estúpido me sentindo nervoso; medo
sinto-me honrado por isso; alegria
eu estava sentindo um ato de Deus em ação na minha vida e foi uma sensação incrível; surpresa
me sinto como um pássaro voando no ar de uma maneira muito despreocupada; alegria
tenho que revisar minhas respostas repetidamente em minha mente apenas para ter certeza de que a resposta soa apropriada o suficiente e que a pessoa que recebe a resposta não se sentirá ofendida; raiva
fiquei triste quando um amigo meu morreu e senti que algo irrevogavelmente se foi de mim; tristeza
eu morri se alex e matt se arrependessem por não vir me visitar; tristeza
eu sinto que educar as famílias e apoiar e educar as mamães e papais é fundamental; alegria
tenho certeza que é porque quando estou perdido sinto que todos estão sendo hostis comigo e odeio esse sentimento; raiva
acho que essas costuras são muito chatas, pois são muito fáceis e não há mais nada a dizer sobre elas além do uso do tecido; tristeza
sempre gostei de usar a fragrância original para refrescar e perfumar levemente minha gaveta de roupas íntimas para me sentir maravilhosamente glamourosa e feminina; alegria
eu me sinto como um jovem talentoso eu não me sinto talentoso então eu não quero trabalhar com ele; alegria
eu me sinto curioso sobre todas essas coisas ao redor; surpresa
eu sinto que a razão de estarmos separados da vida um do outro é porque estou na dele para ajudá-lo a se tornar algo para empurrá-lo para ter sucesso e ser bem-sucedido e feliz; alegria
agora me sinto tão desconfortável com todos eles, acho que sou eu; medo
eu me sinto bem tranquilo até agora sobre qualquer processo de cicatrização de feridas que possa estar em andamento; alegria
às vezes me pergunto se acabei de aumentar o antagonismo e o mal-entendido que muitas pessoas têm em relação àqueles de nós que se sentem relutantes em apoiar de todo o coração as tradicionais lembranças do dia do armistício; medo
minhas pernas ficariam uma merda por alguns quilômetros, mas voltariam como sempre; tristeza
eu sei que é uma reação injusta, mas eu não tenho mais maneiras de explicar como eu me sinto abalado é o melhor que posso pensar agora; medo
eu me sinto muito abençoada pelo apoio que tenho em casa, é incrível; amar
sinto-me maltratado e difamado, mas principalmente cansado da sensação de nervosismo que antecipa o perigo; tristeza
estou me sentindo muito inquieto agora enquanto digito isso; medo
eu sei que gosman s é um local turístico para ir se estiver na área de montauk mas os visitantes pouco frequentes desta área querem ir até lá para o porto sentir o grasnar suave das gaivotas a lamber a água contra as estacas de madeira e a brisa relaxante que vem do agua; amar
eu tenho que admitir que esses cartões eletrônicos hilários são exatamente como eu me sinto, estou tão estressado que me sinto a qualquer momento que eu poderia começar; tristeza
escrevi no ano passado quando estava me sentindo mais aborrecido e inarticulado do que o normal; tristeza
id me chuto em marcha, mas eu me sinto irritável sem qualquer motivação; raiva
sinto como uma criança sentimentos inocentes ilustrando a; alegria
tenho a satisfação de sentir que não estou mais apoiando ou contribuindo para o consumismo saqueador que transformou um cadáver ambulante da América que eu tanto reverenciava quando era mais jovem; amar
vou começar a ficar ressentido; raiva
vou passar minhas férias comigo sem obrigações sem dores de cabeça sem me sentir como se estivesse sendo chantageado emocionalmente para estar em três lugares ao mesmo tempo; tristeza
eu sinto herpes chegando eu ficaria muito surpreso neste momento se eu conseguisse novamente depois do meu check-up na clínica na quarta-feira; surpresa
eu me sinto tão fodido como todos os dias da minha vida; raiva
trabalhei muito duro o ano todo para tentar fazer com que cada criança da classe se sentisse valorizada; alegria
estou me sentindo desanimado com minhas palavras ultimamente; tristeza
eu não senti como se estivesse sendo vadia na época, mas em retrospecto por que ele não pensaria que eu estava tentando me livrar dele; raiva
eu ainda duvido de mim mesmo e ainda tenho um tempo terrível para tomar decisões definitivas, mas há certas verdades que eu sei sobre mim mesmo e me sinto seguro por essas verdades; alegria
não me apetece ovos Benedict vou comer algo igualmente delicioso; alegria
estou sentindo meu caminho e confiando em mim mesmo; alegria
estou me sentindo inspirada por todos os elementos de verão da minha praia favorita do passado; alegria
eu posso sentir que ela sorriu eu te amo ainda mais lindo; alegria
eu continuo a definir e descobrir o que o lar pode significar aqui em amsterdã sempre que sinto uma pontada de doença em branco, está mais de acordo com a falta da mentalidade cultural da vida urbana americana, que é muito diferente da mentalidade cultural de amsterdã; tristeza
eu faço um arcade eu tenho um propósito muito simples e que é tentar fazê-lo sentir-se absolutamente confortável fisicamente emocionalmente prático e absolutamente; alegria
não posso dizer que sinto toda essa simpatia; amar
eu estava me sentindo muito ansioso e pulei para o metrô para passear no olho de londres; alegria
entro na internet e vejo um amigo conversando com outro e não está falando comigo me sinto ignorado me sinto mal amado; tristeza
eu não estou monitorando o que eu tenho a dizer sobre nada se você se deparar com algum dos meus blogs e se sentir ofendido por favor não passe por aqui novamente; raiva
eu sinto que é tão estranho que eu tive câncer uma vez; surpresa
eu quero me sentir seguro e bem e que talvez haja uma pequena chance de eu sentir alegria e meus sonhos se tornarem realidade; alegria
estou me sentindo mal-humorado; raiva
também acho intrigante que, depois que esse administrador em particular tenha me destacado para elogiar minha capacidade de fazer meus alunos lerem, ele sinta que o tempo de ssr não é um uso produtivo do tempo de aula; alegria
eu tentei preenchê-lo fazendo amizade com pessoas que eu sabia que estavam apenas me usando, mas eu não me importei porque eu precisava me sentir aceito mesmo que fosse por algum completo perdedor; amar
me sinto estressado sempre; tristeza
lembro-me de sentir outra cãibra, mas também ignorei; tristeza
espero me sentir bem alimentado bem dormido em paz comigo mesmo dentro deste mundo externo; alegria
eu também aprendi que é preciso muito esforço e pensamento positivo para eu não cair em lágrimas por me sentir exausta e culpada por não ser uma mãe melhor; tristeza
estou me sentindo horrível porque saímos com minha amiga e seu novo bebê no dia anterior; tristeza
sinto-me muito relaxado e bem; alegria
sinto o sofrimento e realmente sinto a dor; tristeza
vou dormir sinto como se estivesse abrindo mão de um tempo precioso para fazer outra coisa da minha vida; alegria
sinto como se estivesse negligenciando o blog da minha querida mãe; alegria
direi que sim porque senti uma coisa quando ele escreveu como ele gosta de xxx; alegria
eu apenas me sinto aterrorizado como se estivesse à beira de um precipício olhando para frente; medo
sinto que os exames totalmente apáticos vêm e vão e agora tenho cinco ou mais meses inteiros pela frente sem universidade e tempo livre; tristeza
fico furioso porque os defensores do direito à vida podem me dizer como viver e morrer por meio de lobby e apoio a políticos que simpatizam com seus pontos de vista; raiva
sinto como se tivesse sido abusada de alguma forma; tristeza
ainda estou prestando atenção, mas me sinto distraído; raiva
comecei o terceiro bloco sentindo calor, frio e formigamento, tudo ao mesmo tempo, sabendo que ainda tinha cinco horas de exame pela frente, sem ter ideia se alguma delas serviria para alguma coisa; amar
hesito em fazer sugestões porque sinto que o resultado não seria sincero; alegria
não me sinto muito afeiçoado à maioria neste exato momento; amar
posso sentir que estou ganhando controle sobre os aspectos de bens danificados da minha segurança pessoal; tristeza
eu fui bombardeada naquela primeira entrevista eu saí da segunda entrevista me sentindo muito fã enlouquecendo tastic; alegria
acho que demoramos tanto para construir um bom inventário de molhos óleos especiarias e outros não perecíveis para sentir que temos a chance de fazer algo delicioso sem ter que sair e comprar especificamente cada item em uma receita; alegria
agora sinto que posso aconselhar outros pais cujos filhos logo se tornarão adolescentes que não é legal ir até a escola de seus filhos para pegá-los em um calhambeque fedorento com plantas saindo pelas janelas; alegria
sinto-me vitimado pelo arrastar do nosso país com a cabeça na areia tradicionalistas hesito em chamá-los de conservadores por medo de ofender os conservadores que ainda pensam que o mundo foi criado anos atrás e que coisas como restos de esqueletos são algum tipo de embuste ; tristeza
eu me sentiria sortudo em chamar qualquer um dos materiais e kits em seu site de meus, eles são simplesmente lindamente selecionados; alegria
eu fui para os meus sangues, o que provou que a razão pela qual eu estava me sentindo tão letárgico e lixo era que eu estava com pouco ferro, então agora me receitaram comprimidos de ferro; tristeza
tenho minha própria mente e sinto que minha mente é perigosa para minha vida; raiva
sinto que amo a todos ou pelo menos sou compassivo com os outros; amar
sinto como se devesse ser punido por negligenciá-lo; tristeza
eu sinto que ele simplesmente não captura a beleza desse lindo esmalte; amar
sinto que perdi algumas das minhas raízes principais sinto-me menos seguro emocionalmente financeiramente e socialmente; tristeza
eu sinto que deveria apenas morder a bala e fazê-lo, mas toda vez que penso nisso me sinto estressado porque não estou totalmente apoiado em minhas decisões; tristeza
eu sei que tenho alguns tiques verbais que soam desagradavelmente imaturos e minha voz é meio anasalada e nem sempre pareço a ferramenta mais afiada no galpão, especialmente quando estou me sentindo estranha, mas há saber e há saber que você sabe; tristeza
Eu tive um pesadelo terrível e estava me sentindo um pouco perturbado; tristeza
eu não queria passar por lá apenas no caso de os clientes se sentirem incomodados; tristeza
quero que outros sofredores possam me encontrar na esperança de que minha batalha possa ajudá-los a sentir que não estão sozinhos; tristeza
estou me sentindo excepcionalmente relutante em ir à escola amanhã, embora seja segunda-feira e o horário seja muito bom; medo
estou tão festiva, isso parece tão delicioso uhuuuuuu que ótima noite; alegria
não estou ansiosa para ser derrotada por me sentir uma decepção para meu marido ou pela dor emocional; tristeza
estou cansado de me sentir péssimo; tristeza
sinto que quase me convenci de que esse será o padrão; alegria
eu também os uso quando estou usando um vestido que me faz sentir como uma calcinha antiga, mas obviamente um pouco mais ousada ou talvez um pouco mais do que um pouco; amar
sinto um orgulho perverso de meu autocontrole por ter conseguido ficar onde me mandaram e não alcançar a tentadora carne humana tão próxima de nós; tristeza
me sinto tão impaciente tão facilmente irritada tão indignada com o desafio flagrante que parece ser a característica mais proeminente de Olivia nos dias de hoje; raiva
